CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL,Unidad
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,1,0.4,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,2,0.9,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,3,0.6000000000000001,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,4,0.2,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,5,2.7,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,6,3.000000000000001,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,7,0.1,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,8,0.9000000000000001,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,9,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,10,1.6,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,11,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2024,12,0.2,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2025,8,12.999999999999996,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2025,9,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2025,10,0.2,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2025,11,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2025,12,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2026,1,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2026,2,0.0,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2026,3,0.5,mm
04000001,PLAYA LOS CHOROS,4,DE COQUIMBO,LA HIGUERA,0291445  ,0712739  ,260845,6762267,18,2026,4,1.1,mm
