CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL,Unidad
05701002,RIO MAIPO EN LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335107  ,0701154  ,389152,6253617,1527,2026,1,9.1,mm
05701002,RIO MAIPO EN LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335107  ,0701154  ,389152,6253617,1527,2026,2,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1962,7,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1962,8,69.9,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1962,9,11.8,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1962,10,83.6,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1962,11,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1962,12,8.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,1,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,2,3.8,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,3,24.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,4,15.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,5,75.6,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,6,131.7,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,7,328.90000000000003,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,9,192.20000000000002,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,10,43.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,11,69.7,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1963,12,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,1,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,2,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,3,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,4,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,5,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,6,177.4,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,7,97.8,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,8,51.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,9,5.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,10,3.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,11,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1964,12,29.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,1,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,2,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,3,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,4,217.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,5,69.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,6,56.3,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,7,100.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,8,471.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,9,16.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,10,85.9,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,11,87.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1965,12,5.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,1,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,2,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,3,0.6,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,4,39.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,5,36.3,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,6,183.4,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,7,180.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,8,86.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,9,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,10,43.9,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,11,12.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1966,12,19.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,1,9.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,2,7.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,3,0.0,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,4,12.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,5,98.3,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,6,62.5,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,7,61.7,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,8,19.7,mm
05701005,LAS MELOSAS,13,METROPOLITANA,SAN JOSE DE MAIPO,0335358  ,0701153  ,389224,6248289,1527,1967,9,31.0,mm
