CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1974,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1974,12,6
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,1,86.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,2,109.3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,3,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1975,12,117.6
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,1,209.7
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,2,144.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,3,64.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,9,1.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1976,12,24.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,1,86.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,2,157.6
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,3,44.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,4,14.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,9,1.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,10,16
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,11,28.6
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1977,12,31
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,1,147.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,2,7
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,3,33
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,4,16.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1978,5,0
