CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL,Unidad
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2024,10,59.5,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2024,11,155.3,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2024,12,14.7,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2025,8,174.89999999999995,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2025,9,192.39999999999998,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2025,10,27.609999999999996,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2025,11,18.4,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2025,12,78.09999999999997,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2026,1,21.900000000000002,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2026,2,127.69999999999999,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2026,3,294.79999999999995,mm
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,0392612  ,0731244  ,653855,5633239,10,2026,4,131.2,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2024,10,58.500000000000014,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2024,11,137.29999999999998,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2024,12,23.4,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2025,8,204.69999999999993,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2025,9,256.29999999999995,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2025,10,114.9,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2025,11,70.9,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2025,12,0.0,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2026,1,0.8,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2026,2,85.6,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2026,3,258.7,mm
10111015,LAGO RIÑIHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,0394640  ,0722711  ,718122,5593803,112,2026,4,127.00000000000001,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2022,12,23.700000000000006,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,1,22.800000000000004,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,2,37.900000000000006,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,3,196.9,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,4,265.99999999999994,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,5,342.3,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,6,466.6,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,7,469.3,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,8,469.2,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,9,470.1,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,10,104.89999999999998,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,11,340.4999999999999,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2023,12,25.700000000000003,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,1,40.99999999999999,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,2,75.89999999999999,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,3,159.09999999999997,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,4,237.89999999999995,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,5,346.70000000000005,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,6,815.9000000000001,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,7,221.8,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,8,205.49999999999997,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,10,82.99999999999999,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,11,208.2,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2024,12,58.60000000000001,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2025,8,320.20000000000005,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2025,9,346.09999999999997,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2025,10,306.1000000000001,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2025,11,35.1,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2025,12,185.80000000000004,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2026,1,53.100000000000016,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2026,2,143.40000000000003,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2026,3,443.70000000000005,mm
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,0395327  ,0732533  ,634587,5583173,23,2026,4,288.90000000000003,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,1,0.2,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,2,30.299999999999997,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,3,142.0,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,4,198.99999999999994,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,5,289.0,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,6,340.8999999999999,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,7,322.3,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,8,354.8,mm
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,0395707  ,0733433  ,621653,5576605,10,2023,9,310.3,mm
